tema_id,tema,participacion_pct,intensidad_media,impacto_en_polaridad,direccion,confianza,contribucion_pct,coef_ridge,coef_logit,correlacion,num_subtemas
0,Servicios e Infraestructura Pública,16.22,0.0155,Alta,Polaridad positiva,Alta,15.56,0.143786,0.05466,0.310078,3
1,Seguridad y Criminalidad,23.98,-0.043,Alta,Polaridad negativa,Alta,40.2,0.278682,0.038834,0.322295,4
2,Medio Ambiente y Servicios de Agua,6.11,-0.0598,Alta,Polaridad negativa,Baja,10.33,0.095509,0.008818,0.118151,3
3,Obra Pública e Inversión,7.96,0.0274,Alta,Polaridad positiva,Alta,8.77,0.243269,0.072267,0.304836,1
4,Educación y Cultura,12.19,0.0117,Alta,Polaridad positiva,Alta,16.69,0.231422,0.065985,0.458635,2
6,Gobernanza y Administración Pública,20.09,-0.0206,Alta,Polaridad negativa,Alta,8.44,0.234132,0.048148,0.492541,1
