doc_id,texto,tokens,positivas,negativas,polaridad_score
0,mejoramos la movilidad en la ciudad con casi km de infraestructura al servicio de la poblacion rumbo,15,1,1,0.0
1,querida gracias por tu liderazgo al frente de que bajo tu sensibilidad y experiencia cimento las bas,17,1,0,0.058823529411764705
2,rumbo al mundial continuamos con una transformacion profunda de la movilidad capitalina con una inve,32,3,0,0.09375
3,en vivo acompaname al evento de movilidad rumbo al mundial,6,1,0,0.16666666666666666
4,conoce el padron de instaladores de gas y electricidad certificados por y una herramienta para conta,21,1,0,0.047619047619047616
5,en el zocalociudadano volvimos al territorio con escucha y atencion directa un gobierno cercano al s,10,1,0,0.1
6,realizamos el zocalociudadano gabinete del en territorio con soluciones para la ciudadania cada soli,9,0,0,0.0
7,antes de que termine el dia quiero recordarles un momento historico que transformo la vida democrati,16,1,0,0.0625
8,me reuni con el gobernador de michoacan quien nos extendio la invitacion para la inauguracion de la ,21,2,0,0.09523809523809523
9,en la capitaldelatransformacion la revolucion mas profunda es la que cuida la salud de todas y todos,12,2,0,0.16666666666666666
10,hoy iniciamos cinco proyectos de vivienda en el corazon de la ciudad de mexico con una inversion de ,17,1,0,0.058823529411764705
11,en vivo acompaname a la colocacion de la primera piedra de la obra de vivienda en conjunto,7,0,0,0.0
12,marzo de registro el menor numero de homicidios desde en la ciudad de mexico este dato refleja el tr,18,0,3,-0.16666666666666666
13,este de mayo a las horas participemos en el primersimulacronacional prepararnos salva vidas reforcem,17,0,0,0.0
14,implementamos un programa universal con la meta de realizar mil mastografias para ya adquirimos nuev,17,1,0,0.058823529411764705
15,un abrazo solidario al ing victor manuel velazquez rangel a su familia y a sus seres queridos ante l,23,0,0,0.0
16,rumboalmundial fortalecemos tu comunidad con la transformacion del cetram huipulco y el puente peato,17,3,0,0.17647058823529413
17,durante el pasado mes de marzo consolidamos la tendencia a la baja en los delitos de alto impacto en,31,1,0,0.03225806451612903
18,en vivo acompaname al informe de seguridad de marzo,5,1,0,0.2
19,posicionamiento del gobierno de la ciudad de mexico ante el informe del comite de desaparicion forza,11,0,0,0.0
20,llego el santochapuzon ven a disfrutar de la semana santa con areas de alimentos zonas de relajacion,19,0,0,0.0
21,como parte de las acciones cualliohtli repavimentamos la ultima milla al estadio ciudad de mexico co,26,2,0,0.07692307692307693
22,vente al santo chapuzon en la utopia teotongo las vacaciones se disfrutan con albercas y diversion t,23,0,0,0.0
23,el tenango mas grande del mundo ya esta en el zocalo esta obra de mas de metros de largo y formada p,31,1,0,0.03225806451612903
24,con el operativo de seguridad semana santa fortalecemos la seguridad en espacios publicos para la tr,12,3,0,0.25
25,llego el santochapuzon a nuestra ciudad invitamos a todas las familias a disfrutar de estas vacacion,17,0,0,0.0
26,abrimos las puertas de la utopiamixiuhca un nuevo espacio publico con acceso a servicios de cuidado ,16,0,1,-0.0625
27,en la ciudad de mexico usamos la tecnologia para cuidarte y orientarte xoli es el chatbot oficial qu,26,1,0,0.038461538461538464
28,les invito al gran remate de libros discos y peliculas que se lleva a cabo en el monumento a la revo,21,1,0,0.047619047619047616
29,en el marco del m iniciamos la entrega de alarmas personales de panico en unidades habitacionales es,30,2,2,0.0
30,santochapuzon es un recordatorio de algo esencial el derecho a la ciudad tambien se vive con alegria,19,0,0,0.0
31,sumamos santochapuzon a las actividades que puedes disfrutar en tus vacaciones sin salir de la ciuda,16,0,0,0.0
32,a dias del mundial avanzamos en la mejora de la movilidad en el sur de la ciudad de mexico con nueva,23,1,0,0.043478260869565216
33,la ciudad de mexico nacio del agua y en ella sigue latiendo su historia en este valle de espejos los,44,4,3,0.022727272727272728
34,el director de martin lopez delgado senalo que con motivo del mundial se estan modernizando estacion,15,0,0,0.0
35,en la capitaldelatransformacion se pondra en marcha el centrobus ruta de las mujeres indigenas un se,15,1,0,0.06666666666666667
36,la titular de destaco que se continua avanzando en las obras permanentes que contribuiran al traslad,22,2,0,0.09090909090909091
37,con una inversion historica en el impulsamos diversas obras que perduraran en el tiempo para mejorar,15,2,0,0.13333333333333333
38,el secretario de movilidad hector ulises garcia nieto destaco que se impulsa una amplia gama de acci,22,1,0,0.045454545454545456
39,ven al zocalo y celebra la riqueza cultural de nuestros pueblos originarios con el primer festival c,25,2,0,0.08
40,importante el titular de la informa importante esta manana resultado de la rapida respuesta de mis c,24,1,2,-0.041666666666666664
41,en la capitaldelatransformacion cada dia se mueven millones de personas por lo que seguimos invirtie,17,1,0,0.058823529411764705
42,la jefadegobierno transforma la movilidad con una inversion historica de mas de mil mdp renovamos y ,11,3,0,0.2727272727272727
43,en vivo la jefa de gobierno clara brugada asiste al evento de movilidad rumbo al mundial,10,1,0,0.1
44,sumate a nuestro canal de whatsapp y recibe avisos servicios convocatorias y lo mas importante de la,15,0,0,0.0
45,importante el titular de la informa importante en companeros de atendieron una denuncia ciudadana en,23,2,2,0.0
46,el proximo de mayo a las horas se llevara a cabo el primer simulacro nacional por sismo participa re,12,0,0,0.0
47,en la avenida alcaldia venustiano carranza personal de la finaliza una jornada mas del programa estr,13,1,0,0.07692307692307693
48,no descansamos en el proposito de brindarte vialidades que procuren tu bienestar gracias al programa,18,2,0,0.1111111111111111
49,en la capitaldelatransformacion tu tranquilidad es nuestra prioridad nuestra policia de transito de ,9,1,0,0.1111111111111111
50,nuestro compromiso es claro que puedas transitar con certeza y proteccion en la avenida alcaldia ven,20,3,0,0.15
51,envivo programa estrategico de repavimentacion en vialidades primarias cualliohtli en la avenida,8,2,0,0.25
52,con una inversion de millones de pesos construimos y rehabilitamos hogares sustentables equipados co,16,1,0,0.0625
53,la jornada de zocalo ciudadano reunio a la ciudadania y al gabinete de secretarios y secretarias de ,12,1,0,0.08333333333333333
54,a traves de la en el gobierno de la ciudad acompanamos la presentacion de la guia de movilidad segur,18,1,0,0.05555555555555555
55,la jefadegobierno destaco que el proyecto de vivienda en conjunto que arranco hoy contara con panele,20,0,0,0.0
56,la jefadegobierno dio inicio a obras para vivienda sustentable y accesible con una inversion de mill,15,2,0,0.13333333333333333
57,en vivo la jefa de gobierno clara brugada asiste a la colocacion de la primera piedra de vivienda en,10,0,0,0.0
58,tienes una idea para mejorar tu calle hazla realidad participando en las consultas del haz oir tu vo,12,1,0,0.08333333333333333
59,en lo que va del ano hemos desarticulado celulas criminales y realizado mas de detenciones por delit,13,0,1,-0.07692307692307693
60,hoy es el dia mundial de la salud pequenos habitos hacen grandes cambios hidratate alimentate mejor ,18,0,0,0.0
61,precaucionvial ante movilizaciones en distintos puntos de la capitaldelatransformacion te recomendam,23,0,0,0.0
62,en la avenida francisco del paso y troncoso personal de la continua con jornada del programa cuallio,17,2,0,0.11764705882352941
63,envivo programa estrategico de repavimentacion en vialidades primarias cualliohtli en la avenida fra,10,2,0,0.2
64,la discriminacion no es algo aislado pasa todos los dias y afecta a muchas personas por eso en la ca,13,0,0,0.0
65,list para retomar tus estudios en las ciberescuelas de puedes hacerlo a tu ritmo y sin complicacione,26,0,0,0.0
66,planear tus vacaciones tambien implica cuidar tu dinero y tu tranquilidad antes de viajar tomate un ,17,1,0,0.058823529411764705
67,te recordamos que manana nos vemos en nuestro zocalociudadano en punto de las h para seguir fortalec,8,0,0,0.0
68,la jefadegobierno dio a conocer avances en seguridad que reflejan un trabajo constante y coordinado ,24,1,4,-0.125
69,en vivo la jefa de gobierno clara brugada encabeza conferencia de prensa informe de seguridad,10,1,0,0.1
70,importante el titular de informa importante en companeros de en coordinacion con elementos de la det,24,0,0,0.0
71,hoy es el ultimo dia de la feriadelanieve si no has ido este es el momento de lanzarte por tu nieve ,8,0,0,0.0
72,precaucionvial ante movilizaciones en distintos puntos de la capitaldelatransformacion te recomendam,21,0,0,0.0
73,no te dejes enganar no envia mensajes de texto para cobrar infracciones verifica tus adeudos unicame,10,0,0,0.0
74,la jefadegobierno presento resultados en materia de seguridad fruto de una estrategia integral basad,31,1,3,-0.06451612903225806
75,en la capitaldelatransformacion reforzamos la campana contra el sarampion con mas dosis disponibles ,16,0,1,-0.0625
76,importante informa aviso importante por trabajos de mantenimiento las instalaciones del santochapuzo,20,0,0,0.0
77,importante el titular de informa importante resultado de la oportuna atencion a sendas denuncias ciu,26,2,1,0.038461538461538464
78,la capitaldelatransformacion es la mejor sede para el mundial aqui hasta los goles son de taquito,5,0,0,0.0
79,hoy es el ultimo dia para sumergirte en las increibles experiencias de aquifera festivaldelbosque y ,15,0,0,0.0
80,ultimo dia de activades en aquifera festivaldelbosque no te pierdas las opciones que tenemos para ti,8,1,0,0.125
81,este domingo mueveteenbici en el paseodominical y disfruta de la ruta de km que recorre puntos emble,12,0,0,0.0
82,precaucionvial ante movilizaciones en distintos puntos de la capitaldelatransformacion te recomendam,21,0,0,0.0
83,asi se disfruta la nueva edicion del picnic nocturno noche de linternas en naturaleza amig y buena c,13,0,0,0.0
